Model_Code,c40HC
LF24Z6530S,42
LDFC2423V,142
LDNPQ445S,142
LRFLC2706S,40
DLE6100W,90
WM8980HVA,56
DLE3400W,90
LF29S9775S,26
WKEX300HBA,42
WM8900HBA,56
DLEX8980V,56
LF25Z6211S,42
DLE8400BE,90
DLEX4000B,90
WKHC152HWA,51
DLEX8600BE,90
DLE8400WE,90
WM6998HBA,84
DLEX8900B,56
DLE8200L,90
DLGX4001B,90
WKEX200HBA,45
DLEX5800V,90
LDNPQ44HS,142
YPH025KAA,256
WKE100HWA,45
DFB532FP,158
DLEX3850V,90
SC5GMR80H,51
LDNFC33LS,142
DLE3420W,90
DLHC1455W,150
WDP6B,270
LRFXC2606S,40
DLEX6700B,90
DLE3600W,90
CDG27RUCPB,90
WK22VS6P,44
WKGX301HBA,42
LCFC26XSS,40
YPH029KAA,640
DFC435FP,160
LDFC2423U,142
LDFC3532S,142
LDNTH753S,142
LDP6797SS,142
WKHC252HBA,42
LDPN454HT,142
LF25G8330S,28
LF26WCH5HS,40
DLE8200W,90
LY24Z6231V,42
DLGX5801V,90
LDFN4542D,142
DLGX8981V,56
CWG27VDCRB,90
WDP6V,270
WK25BS6,42
DLE3400WL,90
LRYXC2606S,40
WKEX200HGA,44
DLG3401W,90
DC90V3V6W,150
WKHC252HWA,42
LDFN4542S,142
DLG6101W,90
WDP6W,270
APNQ48GT3E4,73
GCWM1069CS8,90
LRIN6323YE,84
LRYKC2606S,40
LSGL6335X,84
LDFN3432T,142
LDNPH654S,142
DT25WTGK,90
DFB512FP,160
DLE3400V,90
DLG8401WE,90
GR-B922FEBM,51
WD-S2220B,42
GDL1329CGS8,90
DLEX4200B,90
DLG8401BE,90
GR-B278SE,30
DLE3580X,90
DLE3600V,90
DT25MTGK,90
GTFV61PYBQD,51
LDNPH753S,142
LF26C6230V,40
DFB435FV,158
DFB435FM,160
DLGX8601BE,90
DLE6100M,90
DLE7150W,90
GR-HL600MBN,51
DLHC3602W,84
DLGX4001W,90
DLEX6500B,90
LRFLC2716S,40
RH10V9PV2W,150
CWG27MDCRB,90
LF24Z6330S,42
DLG7001W,90
DF20WV2W,90
WR-20DW,84
LDNTM545S,142
WK22VS6PE,44
DFC513FV,160
GR-B922FMBM,51
DLE7000W,90
DXH9-10MB,150
R723MB,51
PT9900SWSS,84
LTGL6937F,84
GRTF622PFBQ,51
DLGX8901B,56
LF30S8210S,26
WDEP9423F,64
LRFLC2706D,40
W4W8BVKKZHM,51
FH069FD2M,90
DLEX8600WE,90
WDP5V,168
WK2116BST1,44
LDGL6924S,84
LDFN4542W,142
AS651DBY0,405
WK22WS6PE,44
LSEL6333XE,84
DFC287HVS,160
LT23HBHSIV,51
LREL6321S,84
WK22BS6,44
LF27D6200S,40
DLEX5800A,90
CWG27MDQRS,90
GCWM1069CS7,90
GDL1329CGW8,90
GR-X24FMKBL,28
GRB-862BVLB,51
FWT1310PB,51
LSIL6332FE,84
S3MF,72
DLHC5502W,84
DLEX4000W,90
LRFLC2716D,40
DFC237HMS,160
LSIL633TFE,84
LTB842PFBQ,51
LT23CBBSIV,51
LF29H8330S,26
CWT29MDCRB,56
APNQ18GS1K1,109
LF29S8365S,26
GDL1329CGD8,90
DC90V5V0W,150
GRTB622PFBQ,51
WK25BS6E,42
DF22VV2R,90
DXH9-10W,150
YPM031KAA,896
DF50MV2S6W,90
DFC335HS,160
RH10V9AV2WR,150
WT2116SHEG,44
DFC533FV,160
S3MFBN,72
CDG27RUOPS,90
WD300CB,252
WDP5B,50
TCWM2013CS3,56
DFC435FW,160
RH10W8ZVKP,150
RH18U8EVCW,66
ARUN240LTE5,24
DFB425FP,160
LDFC2423W,142
WK17VS6A,44
WK25VS6,42
DLGX6701B,90
CDG27RUQES,90
S4UW36R43FB,104
DLE3470M,90
W4W8BVKKWHM,51
CDT29MUCPB,56
LRFLS3206S,26
WT2116SHBB,4
ADFD5448AT,160
CWT29MDQRS,56
DF375HVS,160
DLG3421W,90
LDEL7324SE,84
WCEP6423F,84
DFC335HM,160
WKEX200HWA,45
LSIL6334XE,84
AMNQ09GTUA0,440
LRYXC2606D,40
DB476TXS,160
GMX945NS9F,28
GM89SXD,26
DF22WV2SR,90
FWT1310BG,51
WKGX201HGA,44
GRF-862BVWB,51
DLE3450W,90
DFC532FP,160
AS10GDBY0,270
DF355FP,160
AMNQ18GTTA0,320
ETON24LU5,24
GR-B812PFBQ,51
LDNTH862S,142
LDNPM654S,142
LSEL6335FE,84
SC5MSR40,51
LDTS5552S,142
SRFB27W3,40
DLE3470W,90
DLHC5502B,84
HM093HF,54
LSIL6334FE,84
LRRXC2606S,40
RHX1009NWK,150
DBC435TSL,160
CDG27RUOPW,90
S3IF,72
DFB512FW,160
APNQ30GS1K1,109
LDFC2423B,142
DC90V5V9S,150
GRTB622PQBQ,51
RH90V9PV8N,150
DFC287HMS,160
RH10W8ZVKP2,150
PT-QAGW0,1020
XD5B14PS,158
ARUN103LTE6,23
R723SB,51
LSBNC1021P,57
DFC513FW,160
DFC335HD,160
RV10VHP2B,150
AUUW486D2,52
ARUN040LSS0,52
LDNPM545S,142
VF31XKNH,26
LSGL6335Z,84
S3MG,72
CDT29MUQES,56
DLGX6501W,90
DLGX8601WE,90
GRTB622PQFQ,51
GCWM1069CD8,90
GDL1329CES8,90
F761TOWERB2,44
DVH5-08W,150
ETON20LU5,23
FWT2116BS,44
GDL1329CEW8,90
DBC513TS,160
DF10BVC2S6,150
ARUM200LTE5,24
WSED7612S,216
GRB-862BVWB,51
GRF-862BVLB,51
DLG3601W,90
DLG7151W,90
HU121MRX,52
LSEL6331F,84
DFC612FVE,160
DFC513FVE,160
S3WFBN,72
SC5MAR4G,51
WKEX200HVA,44
WKGX201HBA,44
SRFB27S3,40
VF32BLRH,26
VT-F950LSE,51
W1S1CVK2EHM,44
CDT29MUOPS,56
CWG27MDORS,90
WK2116WHT1,44
APNH48GTLA0,73
