모델목록,빈도
LF24Z6530S.ASTCNA0 / LF29H8330S.ASTCNA0,300
LF25Z6211S.ASTCNA0 / LRFLC2706S.ASTCNA0,99
LRFLC2706S.ASTCNA0 / LRFXC2606S.ASTCNA0,74
LDFC2423V.APZEEUS / LF30S8210S.ASTCNA0,53
LDFN4542S.ASSESNA / LDNFC33LS.ASSEEUS,51
LF25Z6211S.ASTCNA0 / LF29H8330S.ASTCNA0 / LRFLC2706S.ASTCNA0,50
LF25Z6211S.ASTCNA0 / LF26WCH5HS.ASTCNA0,49
LF25Z6211S.ASTCNA0 / LF30S8210S.ASTCNA0 / LRFLC2706S.ASTCNA0,47
LF24Z6530S.ASTCNA0 / LH29S8565S.ASTCNA0,45
LF24Z6530S.ASTCNA0 / LF29S9730S.ASTCNA0,40
LRFLC2706S.ASTCNA0 / LRFXC2606S.ASTCNA0 / LRYKC2606S.ASTCNA0,36
LF24Z6530S.ASTCNA0 / LF30S8210S.ASTCNA0,31
LF25Z6211S.ASTCNA0 / LRFXC2606S.ASTCNA0,31
LF25Z6211S.ASTCNA0 / LH29S8565S.ASTCNA0 / LRFLC2706S.ASTCNA0,31
LRFLC2706S.ASTCNA0 / LRYKC2606S.ASTCNA0,31
LF25Z6211S.ASTCNA0 / LRYKC2606S.ASTCNA0,29
LF24Z6530S.ASTCNA0 / LF29H8330S.ASTCNA0 / LF29S8365S.ASTCNA0,29
LF25Z6211S.ASTCNA0 / LF29S9730S.ASTCNA0,27
LF26WCH5HS.ASTCNA0 / LRFLC2726S.ASTCNA0,26
LF24Z6530S.ASTCNA0 / LF29H8330S.ASTCNA0 / LF29S9730S.ASTCNA0,26
LDFC2423V.APZEEUS / LF29S8330S.ASTCNA0,26
DLEX8980V.ASSEEUS / WM8980HVA.ASSEEUS,26
LDFC2423V.APZEEUS / LF29S8365S.ASTCNA0,25
WDP5B.ABLEEUS / WDP6B.ABLEEUS,24
LF24Z6530S.ASTCNA0 / LF29H8330S.ASTCNA0 / LF30S8210S.ASTCNA0,24
LF24Z6530S.ASTCNA0 / LF29H8330S.ASTCNA0 / LRFLS3206S.ASTCNA0,23
LF29H8330S.ASTCNA0 / LRYXC2606S.ASTCNA0,22
LF24Z6530S.ASTCNA0 / LRFLC2706S.ASTCNA0,21
LF24Z6530S.ASTCNA0 / LF29S8365S.ASTCNA0,20
LDNFC33LS.ASSEEUS / LDNTH753S.ASSESNA,20
