국가코드,국가명,지역
AD,안도라,유럽
AE,아랍에미리트,중아
AF,아프가니스탄,중아
AG,안티구아 바부다,중남미
AI,앙길라,중남미
AL,알바니아,유럽
AM,아르메니아,중아
AN,네덜란드령 안틸레스,중남미
AO,앙골라,중아
AQ,안타티카,기타
AR,아르헨티나,중남미
AS,아메리칸 사모아,기타
AT,오스트리아,유럽
AU,호주,아주
AW,아루바,중남미
AX,알랜드 군도,유럽
AZ,아제르바이잔,CIS
BA,보스니아 헤르체고비나,유럽
BB,바베이도스,중남미
BD,방글라데시,아주
BE,벨기에,유럽
BF,부르키나파소,중아
BG,불가리아,유럽
BH,바레인,아주
BI,브룬디,중아
BJ,베냉,중아
BL,세인트 바르탤르미,중남미
BM,버뮤다,기타
BN,브루나이,아주
BO,볼리비아,중남미
BQ,보네르,중남미
BR,브라질,중남미
BS,바하마,중남미
BT,부탄,아주
BV,부베섬,기타
BW,보츠와나,중아
BY,벨라루스,CIS
BZ,벨리즈,중남미
CA,캐나다,캐나다
CC,코코스 제도,아주
CD,콩고민주공화국,중아
CF,중앙아프리카공화국,중아
CG,콩고,중아
CH,스위스,유럽
CI,코트디부아르,중아
CK,쿡 제도,기타
CL,칠레,중남미
CM,카메룬,중아
CN,중국,아주
CO,콜롬비아,중남미
CR,코스타리카,중남미
CU,쿠바,중남미
CV,카보베르데,중아
CW,큐라소,중남미
CX,크리스마스섬,아주
CY,사이프러스,중아
CZ,체코공화국,유럽
DE,독일,유럽
DJ,지부티,중아
DK,덴마크,유럽
DM,도미니카,중남미
DO,도미니카 공화국,중남미
DZ,알제리,중아
EC,에쿠아도르,중남미
EE,에스토니아,CIS
EG,이집트,중아
EH,서사하라,중아
ER,에리트레아,중아
ES,스페인,유럽
ET,이디오피아,중아
FI,핀란드,유럽
FJ,피지,아주
FK,포클랜드섬,중남미
FM,미크로네시아,아주
FO,페로 군도,유럽
FR,프랑스,유럽
GA,가봉,중아
GB,영국,유럽
GD,그레나다,중남미
GE,구루지아,중아
GF,프랑스령 기아나,중남미
GG,건지,유럽
GH,가나,중아
GI,지브랄타,유럽
GL,그린랜드,기타
GM,감비아,중아
GN,기니,중아
GP,과들루프,중남미
GQ,적도 기니,중아
GR,그리스,유럽
GS,사우스조지아 사우스샌드위치 제도,중남미
GT,과테말라,중남미
GU,괌,아주
GW,기네비쏘,중아
GY,가이아나,중남미
HK,홍콩,아주
HM,허드 맥도날드 군도,기타
HN,온두라스,중남미
HR,크로아티아,유럽
HT,아이티,중남미
HU,헝가리,유럽
HW,하와이,기타
ID,인도네시아,아주
IE,아일랜드,유럽
IL,이스라엘,유럽
IM,맨섬,유럽
IN,인도,아주
IO,영인도 제도,기타
IQ,이라크,중아
IR,이란,중아
IS,아이슬랜드,유럽
IT,이탈리아,유럽
JE,저지,유럽
JM,자메이카,중남미
JO,요르단,중아
JP,일본,아주
KE,케냐,중아
KG,키르기스스탄,CIS
KH,캄보디아,아주
KI,키리바시,기타
KM,코모르,중아
KN,세인트 키츠 네비스,중남미
KP,북한,아주
KR,대한민국,아주
KSTK,7326909000.0,
KV,코소보,유럽
KW,쿠웨이트,중아
KY,케이맨섬,중남미
KZ,카자흐스탄,CIS
LA,라오스,아주
LB,레바논,중아
LC,세인트 루시아,중남미
LI,리히텐슈타인,유럽
LK,스리랑카,아주
LR,라이베리아,중아
LS,레소토,중아
LT,리투아니아,CIS
LU,룩셈부르크,유럽
LV,라트비아,CIS
LY,리비아,중아
MA,모로코,중아
MC,모나코,유럽
MD,몰도바,CIS
ME,몬테네그로,유럽
MF,세인트 마틴,중남미
MG,마다가스카르,중아
MH,마샬군도,기타
MK,마케도니아,유럽
ML,말리,중아
MM,미얀마,아주
MN,몽골,아주
MO,마카오,아주
MP,북마리아나 군도,아주
MQ,마르티니크,중남미
MR,모리타니,중아
MS,몬트세라트,중남미
MT,말타,유럽
MU,모리셔스,중아
MV,몰디브,아주
MW,말라위,중아
MX,멕시코,중남미
MY,말레이시아,아주
MZ,모잠비크,중아
NA,나미비아,중아
NC,뉴칼레도니아,아주
NE,니제르,중아
NF,노퍽섬,아주
NG,나이지리아,중아
NI,니카라과,중남미
NL,네덜란드,유럽
NO,노르웨이,유럽
NP,네팔,아주
NR,나우루,기타
NT,중립지대,기타
NU,니우에,기타
NZ,뉴질랜드,아주
OM,오만,중아
PA,파나마,중남미
PE,페루,중남미
PF,프랑스령 폴리네시아,기타
PG,파푸아뉴기니,아주
PH,필리핀,아주
PK,파키스탄,아주
PL,폴란드,유럽
PM,세인트 피에르 미?론,캐나다
PN,핏케언 군도,기타
PR,푸에르토리코,중남미
PS,팔레스타인,중아
PT,포르투갈,유럽
PW,팔라우,아주
PY,파라과이,중남미
QA,카타르,중아
RE,리유니언,중아
RO,루마니아,유럽
RS,세르비아,유럽
RU,러시아,CIS
RW,르완다,중아
SA,사우디아라비아,중아
SB,솔로몬 군도,아주
SC,세이셸,중아
SD,수단,중아
SE,스웨덴,유럽
SG,싱가포르,아주
SH,세인트 헬레나,중아
SI,슬로베니아,유럽
SJ,스발바르드 얀마이엔 제도,유럽
SK,슬로바키아,유럽
SL,시에라리온,중아
SM,산마리노,유럽
SN,세네갈,중아
SO,소말리아,중아
SR,수리남,중남미
SS,남수단,중아
ST,쌍투메 프린시페,중아
SV,엘살바도르,중남미
SX,신트마르텐,중남미
SY,시리아,중아
SZ,스와질랜드,중아
TC,터크스 카이코스 제도,중남미
TD,차드,중아
TF,프랑스 남부지역,기타
TG,토고,중아
TH,태국,아주
TJ,타지키스탄,CIS
TK,토켈라우,기타
TL,동티모르,아주
TM,투르크메니스탄,CIS
TN,튀니지,중아
TO,통가,중아
TR,터키,유럽
TT,트리니다드토바고,중남미
TV,투발루,아주
TW,대만,아주
TZ,탄자니아,중아
UA,우크라이나,유럽
UG,우간다,중아
UM,미국령 소군도,기타
US,미국,미국 직거래선
UY,우루과이,중남미
UZ,우즈베키스탄,CIS
VA,바티칸,유럽
VC,세인트 빈센트 그레나딘스,중남미
VE,베네수엘라,중남미
VG,영국령 버진아일랜드,중남미
VI,미국령 버진아일랜드,중남미
VN,베트남,아주
VU,바누아투,아주
WF,월리스 후트나,아주
WS,사모아,아주
YE,예멘,중아
YT,마요트,중아
YU,유고슬라비아,유럽
ZA,남아프리카공화국,중아
ZM,잠비아,중아
ZR,자이르,기타
ZW,짐바브웨,중아
ZZ,국적불명,기타
hq,홍콩,아주
tp,동티모르,아주
